id,name
MCO1747,Accesorios para Vehículos
MCO441917,Agro
MCO1403,Alimentos y Bebidas
MCO1071,Animales y Mascotas
MCO1367,Antigüedades y Colecciones
MCO1368,"Arte, Papelería y Mercería"
MCO1384,Bebés
MCO1246,Belleza y Cuidado Personal
MCO40433,Boletas para Espectáculos
MCO1039,Cámaras y Accesorios
MCO1743,"Carros, Motos y Otros"
MCO1051,Celulares y Teléfonos
MCO1648,Computación
MCO1144,Consolas y Videojuegos
MCO172890,Construcción
MCO1276,Deportes y Fitness
MCO5726,Electrodomésticos
MCO1000,"Electrónica, Audio y Video"
MCO175794,Herramientas
MCO1574,Hogar y Muebles
MCO1499,Industrias y Oficinas
MCO1459,Inmuebles
MCO1182,Instrumentos Musicales
MCO1132,Juegos y Juguetes
MCO3025,"Libros, Revistas y Comics"
MCO1168,"Música, Películas y Series"
MCO118204,"Recuerdos, Piñatería y Fiestas"
MCO3937,Relojes y Joyas
MCO1430,Ropa y Accesorios
MCO180800,Salud y Equipamiento Médico
MCO1540,Servicios
MCO1953,Otras categorías
